Epoch	AvgRewardsLast100Ep	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.19499999284744263	0.195	0.3377499	0.78	0.0	1000.0	0.114076525	0.15910244	0.581761	-0.48237002	4000	7.916242e-09	0.038339727	-0.041194223	-0.034217153	0.9189385	0.01512702	0.1765	54.0	3.9564621448516846
1	0.22749999165534973	0.26	0.3589568	0.87	0.0	1000.0	0.02059565	0.045648046	0.2017475	-0.19344	8000	3.7252903e-09	0.0071424358	-0.028110817	-0.0038346136	0.906487	0.0152417375	0.14150001	34.0	7.16705584526062
2	0.27666664123535156	0.375	0.2818244	0.69	0.0	1000.0	0.021432277	0.060555514	0.29587805	-0.15098672	12000	4.656613e-09	0.008857773	-0.037052486	-0.006057173	0.90089685	0.015119988	0.1625	44.0	10.430014848709106
3	0.2887499928474426	0.325	0.22961925	0.57	0.0	1000.0	0.03425157	0.05088887	0.23857778	-0.10370726	16000	1.3038516e-08	0.006471365	-0.03242639	-0.004310687	0.9005105	0.015064729	0.152	36.0	13.692727088928223
4	0.2824999988079071	0.2575	0.22185299	0.61	0.0	1000.0	0.040487327	0.039114624	0.18663749	-0.111303896	20000	3.7252903e-09	0.0041382206	-0.04854677	-0.003076736	0.89266205	0.015145175	0.21975	79.0	16.80456805229187
5	0.3387500047683716	0.62	0.502643	1.42	0.03	1000.0	0.021183783	0.034555558	0.16966142	-0.09530969	24000	-1.4901161e-08	0.01224149	-0.04157351	-0.008859137	0.881353	0.015172935	0.19299999	50.0	19.926769971847534
6	0.3499999940395355	0.41750002	0.48354807	1.24	0.0	1000.0	0.024441568	0.06868284	0.2626852	-0.16145581	28000	1.1175871e-08	0.011356212	-0.035133697	-0.007260308	0.8747676	0.0152630275	0.152	31.0	22.883657932281494
7	0.3656249940395355	0.475	0.47689095	1.01	0.0	1000.0	0.045417465	0.06713224	0.34670478	-0.21435744	32000	2.9802322e-08	0.008510319	-0.044183303	-0.006441653	0.86510396	0.015003454	0.2035	46.0	26.014331817626953
8	0.42750000953674316	0.9225	0.29726884	1.35	0.51	1000.0	0.057699308	0.051907483	0.27498612	-0.105114095	36000	5.5879354e-09	0.011765819	-0.03879071	-0.008494096	0.8568194	0.015025113	0.18925	40.0	29.00913405418396
9	0.453000009059906	0.6825	0.28074676	1.02	0.25	1000.0	0.06549474	0.06965688	0.33609587	-0.21863984	40000	-3.7252903e-09	0.011363124	-0.042884097	-0.009446597	0.8452387	0.015151357	0.205	39.0	31.944795846939087
10	0.46454545855522156	0.58	0.092466205	0.71999997	0.45999998	1000.0	0.072365776	0.0593099	0.30022052	-0.084662415	44000	7.450581e-09	0.008008883	-0.04357357	-0.006019851	0.835573	0.015138769	0.19174999	38.0	35.108362913131714
11	0.47458332777023315	0.585	0.08381527	0.71	0.48	1000.0	0.04958863	0.048457522	0.27255598	-0.10148661	48000	4.656613e-09	0.008803008	-0.011974575	-0.0067212484	0.8334294	0.017231593	0.17899999	7.0	38.10910105705261
12	0.48326921463012695	0.5875	0.31043318	1.09	0.32	1000.0	0.09534261	0.07266699	0.33241895	-0.16016391	52000	-7.450581e-09	0.01484568	-0.035717398	-0.011475872	0.83254105	0.015214555	0.16	28.0	41.20307493209839
13	0.4750000238418579	0.36749998	0.30898017	0.76	0.0	1000.0	0.084801055	0.065250814	0.36236197	-0.15305425	56000	-3.7252903e-09	0.009235775	-0.010418254	-0.007694827	0.82649153	0.015489227	0.14925	5.0	44.107511043548584
14	0.4816666543483734	0.5749999	0.34615746	0.91999996	0.0	1000.0	0.033403452	0.0587103	0.27507916	-0.11793751	60000	-3.7252903e-09	0.009251936	-0.054357708	-0.007482461	0.8255293	0.015162845	0.26674998	79.0	47.505380153656006
15	0.49562501907348633	0.7049999	0.67158395	1.7099999	0.0	1000.0	0.03630635	0.052309398	0.26658297	-0.12459449	64000	-1.8626451e-08	0.014862214	-0.030805472	-0.012555508	0.82520026	0.015675705	0.17175001	22.0	50.79982113838196
16	0.5347058773040771	1.16	0.29334277	1.5699999	0.78	1000.0	0.12329998	0.09324392	0.4297834	-0.14447199	68000	0.0	0.02245897	-0.04961471	-0.018971952	0.8225511	0.015286467	0.24875	67.0	54.368281841278076
17	0.570277750492096	1.175	0.43246388	1.88	0.75	1000.0	0.09981604	0.116445996	0.568794	-0.26714978	72000	7.450581e-09	0.028763477	-0.0438857	-0.024193713	0.8110996	0.015083047	0.18375	31.0	57.65452003479004
18	0.5828947424888611	0.81	0.37662977	1.4599999	0.55	1000.0	0.1325292	0.09834034	0.5007072	-0.16068403	76000	-1.1175871e-08	0.021381132	-0.05711256	-0.017176464	0.809327	0.015056791	0.25825	65.0	61.59133291244507
19	0.6112499833106995	1.15	0.3783517	1.65	0.59	1000.0	0.079027936	0.09333856	0.53365684	-0.19382413	80000	7.450581e-09	0.02317867	-0.040543497	-0.01921324	0.79716885	0.015074804	0.18975	28.0	64.93415403366089
20	0.6516666412353516	1.4599999	0.6840687	2.4099998	0.78	1000.0	0.12212033	0.11572207	0.593329	-0.24300288	84000	-9.313226e-09	0.028649267	-0.040733214	-0.024135847	0.79974186	0.01502628	0.19	23.0	68.03405690193176
21	0.6881818175315857	1.455	0.7625451	2.71	0.66999996	1000.0	0.15894932	0.10491722	0.5582932	-0.24060136	88000	3.7252903e-09	0.030392718	-0.037575334	-0.026643693	0.79797405	0.015073695	0.17175	25.0	71.27460503578186
22	0.7002173662185669	0.96500003	0.58760107	1.61	0.32999998	1000.0	0.175023	0.15847497	0.8711964	-0.23096517	92000	-1.8626451e-08	0.040810917	-0.046588473	-0.03717679	0.79715693	0.015094893	0.21075001	36.0	74.54977679252625
23	0.7062499523162842	0.84499997	0.42839816	1.41	0.24	1000.0	0.100746274	0.08105934	0.44409546	-0.24398343	96000	0.0	0.014655644	-0.045307882	-0.0116429655	0.78713226	0.015262195	0.22424999	35.0	77.77378678321838
24	0.7158999443054199	0.9475	0.7696225	1.89	0.0	1000.0	0.1340524	0.0817572	0.41720906	-0.1862156	100000	-1.4901161e-08	0.02880364	-0.014222898	-0.021948555	0.7787975	0.016000625	0.1695	8.0	80.85245895385742
25	0.7236538529396057	0.91749996	0.463755	1.4699999	0.41	1000.0	0.14907528	0.12244222	0.55137515	-0.17584062	104000	-3.7252903e-09	0.028504094	-0.0077079833	-0.025574554	0.77705985	0.015489599	0.16375	5.0	83.92615914344788
26	0.7369444370269775	1.0825	0.58478093	1.79	0.17999999	1000.0	0.12034952	0.058113396	0.33709854	-0.048528757	108000	1.8626451e-08	0.020161208	-0.02849402	-0.015939837	0.7763015	0.015465681	0.1615	19.0	87.11072301864624
27	0.7381249666213989	0.77	0.42702457	1.4399999	0.37	1000.0	0.14697805	0.11255233	0.5775193	-0.07852969	112000	-7.450581e-09	0.03537665	-0.010955095	-0.028293261	0.773562	0.016333312	0.19425	7.0	89.97192907333374
28	0.7494827508926392	1.0675	0.48390985	1.78	0.45999998	1000.0	0.08693535	0.10143131	0.631372	-0.2514563	116000	5.5879354e-09	0.022970356	-0.04815886	-0.017918203	0.77217066	0.015137862	0.2395	47.0	93.12828397750854
29	0.7768332958221436	1.5699999	0.62140965	2.54	0.81	1000.0	0.11794116	0.0952534	0.5484675	-0.27100545	120000	1.4901161e-08	0.03125766	-0.041166477	-0.025154423	0.7657203	0.015222245	0.19475	31.0	96.43623995780945
30	0.8224999904632568	2.1924999	1.165598	3.79	0.51	1000.0	0.1880076	0.13520281	0.73076737	-0.2051185	124000	7.450581e-09	0.0628179	-0.03922361	-0.05392724	0.7599814	0.015553752	0.2215	30.0	99.56956386566162
31	0.8524218201637268	1.78	0.5361436	2.56	1.09	1000.0	0.2975564	0.1499579	0.83763313	-0.19729763	128000	1.4901161e-08	0.06504083	-0.03650099	-0.055819597	0.75820273	0.015761755	0.17375	22.0	102.71370792388916
32	0.8793181777000427	1.74	0.54465586	2.53	1.04	1000.0	0.14813006	0.13614552	0.5866286	-0.1646313	132000	1.1175871e-08	0.03146927	-0.03921806	-0.024205867	0.76150346	0.015040282	0.18975	23.0	105.96569299697876
33	0.8893382549285889	1.22	0.34183326	1.6899999	0.82	1000.0	0.16320615	0.110207506	0.6225785	-0.22027598	136000	-9.313226e-09	0.029304769	-0.04016441	-0.022774637	0.7593322	0.015246074	0.19425	31.0	109.24152302742004
